Clan,Name,Class,ParagonLvl,CombatRating,Status,Resonance,DMG,HP,Image,Contribution
AftershockUnitedGold,Vudoo,Crusader,117,2902,True,1100,5154,58698,image,620
AftershockUnitedGold,Deanuccus,Demon Hunter,113,2232,True,480,4058,48663,image,460
AftershockUnitedPrime,Witchboots1215,Necromancer,110,2338,True,880,4639,51526,image,280
AftershockUnitedGold,KennyPowers,Monk,116,3094,True,2540,6056,78605,image,350
AftershockUnitedPrime,BODO,Necromancer,103,2308,True,330,3370,41126,image,610
AftershockUnitedGold,Trishthedish,Necromancer,113,2849,True,1185,4509,58881,image,330
AftershockUnitedSilver,Yomama,Demon Hunter,85,1732,True,300,3745,37736,image,150
,Belesmain,,,,False,,,,,
AftershockUnitedPrime,eSportBully,Crusader,111,2790,True,735,4506,50564,image,
AftershockUnitedSilver,Aldwulf,Monk,105,2586,True,967,4228,49632,image,
AftershockUnitedPrime,ArabK1ng,Necromancer,97,2480,True,905,4544,46242,image,
AftershockUnitedGold,AteYoBaby,Necromancer,93,2571,True,1083,4884,52025,image,
AftershockUnitedSilver,BunoRex,Demon Hunter,74,1467,True,330,3208,34950,image,
AftershockUnitedSilver,DanaScully,Crusader,95,2153,True,375,3876,45208,image,
AftershockUnitedGold,Denaari,Wizard,89,2253,True,1421,4963,59197,image,
,Fuzzynutz,,,,False,,,,,
AftershockUnitedGold,HP,Demon Hunter,105,2301,True,625,4723,47008,image,
AftershockUnitedGold,JediKnight,Crusader,97,2254,True,1140,4578,60183,image,
,Kaijin,,,,False,,,,,
AftershockUnitedPrime,Martai,Monk,95,2469,True,1473,4711,56784,image,
AftershockUnitedSilver,MoonlightStar,Demon Hunter,99,2074,True,330,3179,43109,image,
,MrPenguin,,,,False,,,,,
AftershockUnitedSilver,MrTokyo,Barbarian,108,2545,True,990,4775,56688,image,140
AftershockUnitedSilver,Outlawz,Crusader,84,1649,True,285,2962,37876,image,
AftershockUnitedSilver,RonChee,Wizard,115,2164,True,450,3854,44806,image,350
AftershockUnitedPrime,SAUCYGAMINGYT,Wizard,101,2586,True,880,3618,47235,image,160
AftershockUnitedPrime,Saby,Demon Hunter,98,1913,True,270,3687,43385,image,230
,ShaggyGod,,,,False,,,,,
,Pablo,,,,False,,,,,
